Libellé;Indice brut de la production industrielle (base 100 en 2010) - Industries extractives, énergie, eau, gestion des déchets et dépollution (NAF rév. 2, niveau A17, poste DE)
IdBank;001654298
Dernière mise à jour;8 Avril 2016
Mode de représentation;Indice
Correction;Non corrigé (brut)
Période de référence de l'indice;2010
Périodicité;Mensuelle
Date de début;1990-01
Date de fin;2016-02
Zone géographique;France métropolitaine
Unité de mesure;Sans objet
Puissance;0
Traitement des taxes;TTC (Toutes Taxes Comprises)
